password,zxcvbn_score,guesses,crack_time_offline_fast_hashing_1e10_per_second,matched_sequence_count
!2007test2012spring,4,8510680000000,14 minutes,4
!2007testadmin,4,39997000000,4 seconds,3
!2007winterstahl,4,167723200000,17 seconds,3
!2008!springbuck,4,2653066000000,4 minutes,3
!2008fallgabriel,4,62200000000,6 seconds,3
!2008fallpuppy,4,558100000000,56 seconds,3
!2008springderek,4,63900400000,6 seconds,3
!2008springytesttaste,4,14148641200000000,16 days,5
!2008summercandy,4,22621600000,2 seconds,3
!2008summerkitty12,4,4621340800000,8 minutes,4
!2008test@david,4,258400000000,26 seconds,3
!2008testadmin,4,39997000000,4 seconds,3
!2008testadminspring,4,108402724000000,3 hours,4
!2008testme123,4,328450000000,33 seconds,3
!2008testuser32,4,573850000000,57 seconds,3
!2008userdude,4,330100000000,33 seconds,3
!2008userstefan,4,556467400000,56 seconds,3
!2008userzhang,4,1066212427600,2 minutes,4
!2008winterhoney,4,23870800000,2 seconds,3
!2008winterlilah,4,550734400000,55 seconds,3
!2008wintermanx,4,1024552000000,2 minutes,4
!2009admin2014,4,21550000000,2 seconds,3
!2009adminjordan,4,21550000000,2 seconds,3
!2009fall@summer_,4,45540100000000,1 hour,3
!2009falladmin123,4,1051341281200,2 minutes,4
!2009fallferrarialex,4,20750800000000,35 minutes,4
!2009falljames,4,15100000000,2 seconds,3
!2009falljessie,4,64000000000,6 seconds,3
!2009fallkate,4,132400000000,13 seconds,3
!2009fallmike,4,31000000000,3 seconds,3
!2009falluseruser,4,942100000000,2 minutes,3
!2009fallwax,4,33100000000,3 seconds,3
!2009frohlingspring,4,889360000000000,1 day,4
!2009springadminbryan,4,116486800000000,3 hours,4
!2009springchris,4,38057200000,4 seconds,3
!2009springcynthia,4,20290000000,2 seconds,3
!2009springdanny,4,40076200000,4 seconds,3
!2009springspring2009,4,40540000000,4 seconds,3
!2009summer1127,4,302320000000,30 seconds,3
!2009summer@spring,4,2225936800000,4 minutes,4
!2009summerfallfrost,4,57646626400000,2 hours,4
!2009summeruser123,4,1022729014000,2 minutes,4
!2009summerxie,4,41500000000,4 seconds,3
!2009userbruno,4,548936200000,55 seconds,3
!2009userdavid,4,47170000000,5 seconds,3
!2009usergabriel,4,194969800000,19 seconds,3
!2009usermania,4,1209344766400,2 minutes,4
!2009userrain,4,330100000000,33 seconds,3
!2009userwinter,4,175200400000,18 seconds,3
!2009winterbuck,4,73421200000,7 seconds,3
!2009winterhobbs,4,62484400000,6 seconds,3
!2009winterwonderful,4,42731200000,4 seconds,3
!2009winterzhang,4,356885200000,36 seconds,3
!2009winterzhangbo,4,25552000000000,43 minutes,4
!2010adminfall,4,230473000000,23 seconds,3
!2010fall12mike,4,2359600000000,4 minutes,4
!2010falljamesb,4,1057713752800,2 minutes,4
!2010fallwanna,4,71500000000,7 seconds,3
!2010summer2000_,4,1091080000000,2 minutes,4
!2010summerjade,4,39016000000,4 seconds,3
!2010testusertest,4,1023477850000,2 minutes,4
!2011adminlucas,4,111211000000,11 seconds,3
!2011jazzy12,4,33100000000,3 seconds,3
!2011spring_wood,4,1888360000000,3 minutes,4
!2011springjessica,4,20290000000,2 seconds,3
!2011springjulian,4,102261400000,10 seconds,3
!2011test2012user,4,18510040000000,31 minutes,4
!2011winterxiao,4,372286000000,37 seconds,3
!2012#spring17nata,4,4038000100000000,5 days,3
!2012admintest,4,39997000000,4 seconds,3
!2012springmike,4,41691400000,4 seconds,3
!2012springtestspring,4,102093752800000,3 hours,4
!2012test1989cindy,4,2261080000000,4 minutes,4
!2012useradmin,4,673201000000,1 minute,3
!2013adminpeter,4,21550000000,2 seconds,3
!2013falldavidmeister,4,177820000000000,5 hours,4
!2013springfallmichael,4,44368120000000,1 hour,4
!2013springhanso,4,1888360000000,3 minutes,4
!2013springkiki,4,81667600000,8 seconds,3
!2013summer1225kate,4,92080000000000,3 hours,4
!2013testwang,4,49315600000,5 seconds,3
!2014!springgirly,4,25750426000000,43 minutes,3
!2014falladminadmin,4,422216849152,42 seconds,3
!2014spring#testuser,4,311874119776000,9 hours,4
!2014springchris,4,34826283136,3 seconds,3
!2014springjennifer,4,18571427200,2 seconds,3
!2014summerfall2015mike,4,12094961205952000,14 days,5
!2014user24test,4,2227600000000,4 minutes,4
!2014winter13cynthia,4,3042012160000,5 minutes,4
!2015#summerfalllucky,4,251774704000000,7 hours,4
!2015#testuser,4,38250010000,4 seconds,2
!2015adminspring,4,288817000000,29 seconds,3
!2015springadminadmin,4,578341600000,58 seconds,3
!2015springjoseph,4,20290000000,2 seconds,3
!2015testfallspring,4,81664703200000,2 hours,4
!2015winterwinston,4,21973600000,2 seconds,3
!2016#fall_alex,4,2993200000000,5 minutes,4
!2016springjane,4,31192600000,3 seconds,3
!2016springspring2_,4,80980000000,8 seconds,3
!2016testfall12test,4,10570834000000000,12 days,5
!2016testspring,4,37653400000,4 seconds,3
!2016testuserfall,4,1135565650000,2 minutes,4
!2016user@spring,4,1888360000000,3 minutes,4
!2016userfall,4,330100000000,33 seconds,3
!2016usertest,4,87650200000,9 seconds,3
!2016winterzachary,4,19406800000,2 seconds,3
!2016winterzhenzhong,4,2456200000000000,3 days,4
!2017falladmingarden,4,867580000000000,1 day,4
!2017fallferrum22,4,709840000000000,20 hours,4
!2017falljones,4,15100000000,2 seconds,3
!2017fallspringhomer,4,231973600000000,6 hours,4
!2017springadmin34,4,58743400000000,2 hours,4
!2017springwheatfall,4,1874502784000000,2 days,4
!2017testadminuser,4,251393572000000,7 hours,4
!2017winterbutterfly,4,98531200000,10 seconds,3
!2018admintest10,4,8979400000000,15 minutes,4
!2018falljake2014,4,22900000000000,38 minutes,4
!2018fallstefan,4,177400000000,18 seconds,3
!2018springchris,4,38057200000,4 seconds,3
!2018springharry,4,28366000000,3 seconds,3
!2018springjasonharry,4,6653200000000,11 minutes,4
!2018springkathryn,4,33211600000,3 seconds,3
!2018userjessica,4,47170000000,5 seconds,3
!2018winterzhang,4,356885200000,36 seconds,3
!2019#summergina,4,87454000000,9 seconds,3
!2019falldavid,4,15100000000,2 seconds,3
!2019spring2005kate,4,36615160000000,1 hour,4
!2019springferrereason,4,6451572553600000,7 days,4
!2019springmackenzie,4,606203800000,1 minute,3
!2019springpuppy,4,751168000000,1 minute,3
!2019testarabbit,4,441793000000,44 seconds,3
!2019testuser2019,4,573850000000,57 seconds,3
!2019usersummer,4,65056600000,7 seconds,3
!2020#spring2022bruce,4,7900943200000000,9 days,4
!2020#summerhose,4,1227610000000,2 minutes,3
!2020admintest,4,39997000000,4 seconds,3
!2020falljimmy,4,29200000000,3 seconds,3
!2020fallpavel2018,4,241780000000000,7 hours,4
!2020falltest1994,4,6580000000000,11 minutes,4
!2020spring2015david,4,5038000000000,8 minutes,4
!2020spring24squirrel,4,208068640000000,6 hours,4
!2020springdavid,4,20290000000,2 seconds,3
!2020springjoshua,4,20290000000,2 seconds,3
!2020springpeter11,4,5038000000000,8 minutes,4
!2020springuser2021,4,3589974400000000,4 days,4
!2020springwinterzhang,4,961465758400000,1 day,4
!2020springxie21,4,4588974400000,8 minutes,4
!2020squirrel2020,4,155478400000,16 seconds,3
!2020summer19harry,4,2159200000000,4 minutes,4
!2020summer2020winter,4,7221923200000,12 minutes,4
!2020summergarden,4,41914000000,4 seconds,3
!2020summerkent,4,11029600000,1 second,3
!2020testdavies,4,52273000000,5 seconds,3
!2020userfall,4,505631800000,51 seconds,3
!2020userrainfall,4,1288165100608,2 minutes,4
!2020userspring,4,633662200000,1 minute,3
!2020winterfall_olaf,4,9920008000000000,11 days,4
!2020winterman1992,4,2964160000000,5 minutes,4
!2020winterzhang,4,356885200000,36 seconds,3
!2021#fallspring,4,2019100000000,3 minutes,3
!2021@springin2022,4,4038000100000000,5 days,3
!2021admintestspring,4,108402724000000,3 hours,4
!2021fall2004user,4,95140000000000,3 hours,4
!2021kikishawarabushan,4,54041929600000000000,centuries,5
!2021springspringtiger,4,169948000000,17 seconds,3
!2021summerfallkris,4,48842833600000,1 hour,4
!2021summerjenny,4,11526400000,1 second,3
!2021summerzhang,4,132455800000,13 seconds,3
!2021testspring,4,37653400000,4 seconds,3
!2021useradmin,4,673201000000,1 minute,3
!2022#userpeter,4,470800000000,47 seconds,3
!2022summerlilah,4,204367600000,20 seconds,3
!2022testrunner2022,4,615268720000000,17 hours,4
!2023@jazzy,4,11280010000,1 second,2
!2023adminuser,4,673201000000,1 minute,3
!2023falljessie,4,64000000000,6 seconds,3
!2023springbuckymac,4,7421080201600000,9 days,4
!2023testkaz,4,55900000000,6 seconds,3
!2023tiger2020spring,4,69516784000000,2 hours,4
!2023user3111,4,1000000010000,2 minutes,2
#1990_levon_,4,33100000000,3 seconds,3
#1990fall#thepass,4,81520000000000,2 hours,4
#1990fallguy12,4,1708840000000,3 minutes,4
#1990fallkrisp,4,1708840000000,3 minutes,4
#1990jerryjapan,4,13870000000,1 second,3
#1990springdavid,4,20290000000,2 seconds,3
#1990springjessica,4,20290000000,2 seconds,3
#1990springman1990,4,8106880000000,14 minutes,4
#1990summer_alex,4,1091080000000,2 minutes,4
#1990summerlilic,4,1091080000000,2 minutes,4
#1990summermemeysummary,4,11077021000000000,13 days,5
#1990winter_alexis,4,2374912000000,4 minutes,4
#1990winterbutterfly,4,98531200000,10 seconds,3
#1990wintermike,4,11594800000,1 second,3
#1990winterniki,4,144622000000,14 seconds,3
#1991falljames,4,15100000000,2 seconds,3
#1991falljerry,4,15100000000,2 seconds,3
#1991winterfrost!,4,3455200000000,6 minutes,4
#1992fall#meowstic,4,7089400000000000,8 days,4
#1992fall102786peter,4,679900000000000,19 hours,4
#1992summerfallgina,4,19763639200000,33 minutes,4
#1992testfall15test,4,10570834000000000,12 days,5
#1992testkent,4,14831200000,1 second,3
#1992winter12kate,4,1057769588800,2 minutes,4
#1992winterzhang,4,356885200000,36 seconds,3
#1993falldanielcristina,4,26140000000000,44 minutes,4
#1993fallpalestine,4,934600000000,2 minutes,3
#1993springadmin,4,288817000000,29 seconds,3
#1993springpierro,4,9883600000000,16 minutes,4
#1993testchess,4,145180000000,15 seconds,3
#1993winterstuck,4,78331600000,8 seconds,3
#1994!winterkings,4,1955332000000,3 minutes,3
#1994falljohnny,4,28600000000,3 seconds,3
#1994fallwheat,4,648100000000,1 minute,3
#1994springkayla,4,133354000000,13 seconds,3
#1994summeralexandre,4,191906200000,19 seconds,3
#1994summerfallandrois,4,34454980000000000,1 month,5
#1994summerspringbrazil,4,75893593600000,2 hours,4
#1994testuserlady,4,1111078000000,2 minutes,4
#1994winter2049kathryn,4,268215040000000,7 hours,4
#1995admintest,4,39997000000,4 seconds,3
#1995fallkris,4,161500000000,16 seconds,3
#1995fallmike,4,31000000000,3 seconds,3
#1995springfrog,4,523424800000,52 seconds,3
#1995summeralberto,4,10325800000,1 second,3
#1995summerfallbridget,4,32924864800000,55 minutes,4
#1995testfall,4,30064600000,3 seconds,3
#1995testkitten,4,18235000000,2 seconds,3
#1995userzachary,4,162962200000,16 seconds,3
#1995winterinsect,4,462347200000,46 seconds,3
#1996fallstrogan,4,17038000000000,28 minutes,4
#1996springbuckbilly,4,78466607200000,2 hours,4
#1996springjackson,4,20290000000,2 seconds,3
#1996springkenneth,4,20290000000,2 seconds,3
#1996springmanw,4,1088836000000,2 minutes,4
#1996springwesley,4,66727000000,7 seconds,3
#1996testfallhomer,4,35279502400000,59 minutes,4
#1996testlady,4,24652000000,2 seconds,3
#1996wintergabriel,4,23201200000,2 seconds,3
#1997fallcherry,4,120700000000,12 seconds,3
#1997springfalltiger,4,183146104000000,5 hours,4
#1997springhank,4,323543800000,32 seconds,3
#1997springthomasd,4,1238631263200,2 minutes,4
#1997testuseradmin,4,1180501750000,2 minutes,4
#1997winter_alexey,4,17773926400000,30 minutes,4
#1998admintest,4,39997000000,4 seconds,3
#1998falljessie,4,64000000000,6 seconds,3
#1998falljimmy,4,29200000000,3 seconds,3
#1998fallpeterhawkins,4,10000000000000,17 minutes,4
#1998springfrost,4,257320600000,26 seconds,3
#1998test@harry,4,361720000000,36 seconds,3
#1998winterfrodo,4,282671200000,28 seconds,3
#1998winterfrostpuppy,4,529903648000000,15 hours,4
#1999_leslielewis,4,43000000000,4 seconds,3
#1999fall#testuser,4,26245000000000,44 minutes,4
#1999fallfrostmerry,4,818908000000000,23 hours,4
#1999fallgabriel,4,62200000000,6 seconds,3
#1999falljessica,4,15100000000,2 seconds,3
#1999falljoseph,4,15100000000,2 seconds,3
#1999fallzombie,4,182500000000,18 seconds,3
#1999spring_ashley,4,2119333600000,4 minutes,4
#1999springbridget,4,145064200000,15 seconds,3
#1999springfrosted,4,1082839570000,2 minutes,4
#1999springjane,4,31192600000,3 seconds,3
#1999springkaren,4,20290000000,2 seconds,3
#1999springtest322,4,89836000000000,2 hours,4
#1999springtestadmin,4,108402724000000,3 hours,4
#1999springwinterrobert,4,16021360000000,27 minutes,4
#1999testfall,4,30064600000,3 seconds,3
#1999testmeferman,4,123760000000000,3 hours,4
#1999usertiger,4,197794000000,20 seconds,3
#1999userzhang,4,1066212427600,2 minutes,4
#1999wintercandy,4,60810400000,6 seconds,3
#1999winterfallmichael,4,12985840000000,22 minutes,4
#1999winterzhang,4,356885200000,36 seconds,3
#200003_boyson,4,3000100000000,5 minutes,3
#2000springdavid,4,20290000000,2 seconds,3
#2000springmanx,4,1088836000000,2 minutes,4
#2000summer2019wolfgang,4,8501680000000,14 minutes,4
#2000summerzzy,4,41500000000,4 seconds,3
#2000winterwolf,4,52105600000,5 seconds,3
#2001!userzane,4,1884400000000,3 minutes,4
#2001@joshie,4,33100000000,3 seconds,3
#2001_alexandrefall,4,14927626000000,25 minutes,3
#2001_ewmatt,4,33100000000,3 seconds,3
#2001fall123456,4,15100000000,2 seconds,3
#2001fall2012mike,4,7180000000000,12 minutes,4
#2001fallspring2020jim,4,130720048000000000,5 months,5
#2001falltest100,4,71884000000000,2 hours,4
#2001puppytest,4,103888000000,10 seconds,3
#2001spring12kate,4,1138206930400,2 minutes,4
#2001spring1980julien,4,334054240000000,9 hours,4
#2001springdell,4,900574000000,2 minutes,3
#2001springfalllouis,4,66052180000000,2 hours,4
#2001springjane,4,31192600000,3 seconds,3
#2001springuserxw,4,9883600000000,16 minutes,4
#2001summernico,4,238274200000,24 seconds,3
#2001summerzombie,4,25271200000,3 seconds,3
#2001test1989winter,4,3075760000000,5 minutes,4
#2001test2181,4,330100000000,33 seconds,3
#2001testjosh,4,21192400000,2 seconds,3
#2001testspring,4,37653400000,4 seconds,3
#2001winterfalcon,4,12376000000,1 second,3
#2001winterhoney,4,23870800000,2 seconds,3
#2001winterjane#,4,1245520000000,2 minutes,4
#2001wintermick,4,416926000000,42 seconds,3
#2002!raineywinter,4,1190872000000,2 minutes,3
#2002admintest,4,39997000000,4 seconds,3
#2002falldaniel,4,15100000000,2 seconds,3
#2002gardenmeow,4,1045688764000,2 minutes,4
#2002juliettest,4,26432800000,3 seconds,3
#2002springadminadmin,4,578341600000,58 seconds,3
#2002springgirllady,4,143848288000000,4 hours,4
#2002springmanwomanshamsale,4,543256105600000000000,centuries,6
#2002springvibes,4,1038457104400,2 minutes,4
#2002springwinterzhang,4,961465758400000,1 day,4
#2002testman@,4,296398000000,30 seconds,3
#2002testspring,4,37653400000,4 seconds,3
#2002testwinterman,4,4653337600000,8 minutes,4
#2002userdude,4,330100000000,33 seconds,3
#2002userwinter,4,175200400000,18 seconds,3
#2002winterfrenchshack,4,351937360000000,10 hours,4
#2002winterkazaa,4,1245520000000,2 minutes,4
#2002winterkiss,4,54114400000,5 seconds,3
#2003frostfall,4,205341400000,21 seconds,3
#2003kellyvibes,4,174125800000,17 seconds,3
#2003springyzhang,4,9883600000000,16 minutes,4
#2003summerfjord,4,368270200000,37 seconds,3
#2003summertestadmin,4,12011572000000,20 minutes,4
#2003summervicky,4,15293800000,2 seconds,3
#2003winterpavel,4,447950800000,45 seconds,3
#2004fall#mikeoak,4,709840000000000,20 hours,4
#2004fall1950scharlie,4,77500000000000,2 hours,4
#2004falljoseph,4,15100000000,2 seconds,3
#2004fallmanewest,4,50249200000000,1 hour,4
#2004springfog,4,403900000000,40 seconds,3
#2004springjayman,4,1072241435200,2 minutes,4
#2004springjimmy,4,39268600000,4 seconds,3
#2004springjulyrudy,4,81126841600000,2 hours,4
#2004springkrisztine,4,8884600000000000,10 days,4
#2004springwinterdaniel,4,16021360000000,27 minutes,4
#2004summerbreeze,4,73750600000,7 seconds,3
#2004summerwitness,4,36946000000,4 seconds,3
#2004test@manly,4,1401305212000,2 minutes,4
#2004user#michael,4,1000000010000,2 minutes,2
#2004userdavid,4,47170000000,5 seconds,3
#2004usertest,4,87650200000,9 seconds,3
#2004winterknight,4,16505200000,2 seconds,3
#2004winterstar,4,49092400000,5 seconds,3
#2005_ashleyrain,4,454078000000,45 seconds,3
#2005admin21spring,4,58743400000000,2 hours,4
#2005adminspring,4,288817000000,29 seconds,3
#2005admintestuser,4,1180501750000,2 minutes,4
#2005fall1001zhang,4,4221040000000000,5 days,4
#2005fall_alexander,4,1121440000000,2 minutes,4
#2005fallmaniac10,4,75700000000000,2 hours,4
#2005fallsarah,4,15100000000,2 seconds,3
#2005springbrilliant,4,447106600000,45 seconds,3
#2005springfallsomerock,4,95630352940000000,4 months,5
#2005springtome,4,1088836000000,2 minutes,4
#2005summerdaisy,4,12064600000,1 second,3
#2005summerkitty,4,21255400000,2 seconds,3
#2005test#test,4,1122760000000,2 minutes,4
#2005testmantest,4,2826668800000,5 minutes,4
#2005testpuppy,4,103888000000,10 seconds,3
#2005testshock,4,65107000000,7 seconds,3
#2005testyamix,4,1122760000000,2 minutes,4
#2005testzombie,4,34026400000,3 seconds,3
#2005useradmin,4,673201000000,1 minute,3
#2005wintercaroline,4,27442000000,3 seconds,3
#2005wintercassie,4,42954400000,4 seconds,3
#2005winterpawpaw,4,223523200000,22 seconds,3
#2005winterpuppy,4,207676000000,21 seconds,3
#2005winterwheat,4,241156000000,24 seconds,3
#2005winterwheather,4,1260251200000,2 minutes,4
#2006@summer_lee,4,1910800000000,3 minutes,4
#2006fall#chris2,4,11303920000000,19 minutes,4
#2006fall#kateyss,4,709840000000000,20 hours,4
#2006fallcandy,4,163300000000,16 seconds,3
#2006fallgabriela,4,178600000000,18 seconds,3
#2006falljames,4,15100000000,2 seconds,3
#2006spring#testuser,4,340797700000000,9 hours,4
#2006springfashion27sandy,4,401512366000000000,1 year,5
#2006springtestnicholas,4,10613670400000,18 minutes,4
#2006springwolverine,4,518983000000,52 seconds,3
#2006springzabryce,4,74814640000000,2 hours,4
#2006summer123test,4,1023712678000,2 minutes,4
#2006summerfrostjill,4,17772464800000,30 minutes,4
#2006testguy!,4,330100000000,33 seconds,3
#2006testman#,4,330100000000,33 seconds,3
#2006testusertest,4,1023477850000,2 minutes,4
#2006wintercandy,4,60810400000,6 seconds,3
#2006winterhazel,4,15500800000,2 seconds,3
#2006winterjimmy,4,10925200000,1 second,3
#2006wintermancarnage,4,151533222400000,4 hours,4
#2007@testzombie,4,228318880000,23 seconds,3
#2007_summerkris,4,222832000000,22 seconds,3
#2007fallderek,4,47500000000,5 seconds,3
#2007falljimmy,4,29200000000,3 seconds,3
#2007falljosh,4,113500000000,11 seconds,3
#2007fallkarel,4,1069778209600,2 minutes,4
#2007fallkern12,4,8088400000000,13 minutes,4
#2007fallrobert,4,15100000000,2 seconds,3
#2007falltestadmin,4,80794000000000,2 hours,4
#2007falluserlucky,4,373240000000000,10 hours,4
#2007fallzhangchun,4,7048466800000000,8 days,4
#2007shannonadmin,4,52867000000,5 seconds,3
#2007spring#katieb,4,89836000000000,2 hours,4
#2007spring#kelly1991,4,10297600600000000,12 days,5
#2007springadminadmin,4,578341600000,58 seconds,3
#2007springadminbaba,4,234283336000000,7 hours,4
#2007springadminzhang,4,3693112996000000,4 days,4
#2007springmango,4,1028365334800,2 minutes,4
#2007springrobert,4,20290000000,2 seconds,3
#2007springshawn,4,36442000000,4 seconds,3
#2007springspringuser,4,1027918158400,2 minutes,4
#2007springstacey,4,84494200000,8 seconds,3
#2007springtestboy,4,34497632800000,57 minutes,4
#2007springtiger,4,84898000000,8 seconds,3
#2007springwashingtonkate,4,62258075200000,2 hours,4
#2007springzhang,4,1028400869200,2 minutes,4
#2007summermangoes,4,954245800000,2 minutes,3
#2007summerspringkathryn,4,10138801600000,17 minutes,4
#2007summerwinterjoe,4,2570881600000,4 minutes,4
#2007summerzhang,4,132455800000,13 seconds,3
#2007test308211,4,2227600000000,4 minutes,4
#2007testadmin1996,4,8979400000000,15 minutes,4
#2007testgirl2,4,1035659324800,2 minutes,4
#2007testshackle,4,936591400000,2 minutes,3
#2007winterbessie,4,24428800000,2 seconds,3
#2007winterchuck,4,52217200000,5 seconds,3
#2007winterliliane,4,4898857600000,8 minutes,4
#2007wintermango,4,356438800000,36 seconds,3
#2008_alexey_,4,225556000000,23 seconds,3
#2008fallbrian,4,15100000000,2 seconds,3
#2008falljames,4,15100000000,2 seconds,3
#2008fallmichael,4,15100000000,2 seconds,3
#2008springbaba,4,81667600000,8 seconds,3
#2008springdavid,4,20290000000,2 seconds,3
#2008springgabrielle,4,252475000000,25 seconds,3
#2008springgavin,4,231477400000,23 seconds,3
#2008springkyle,4,49363600000,5 seconds,3
#2008springleek,4,1054403166400,2 minutes,4
#2008springmichael,4,20290000000,2 seconds,3
#2008springmike,4,41691400000,4 seconds,3
#2008springspringadmin,4,578392000000,58 seconds,3
#2008springtiger11,4,1180781260000,2 minutes,4
#2008springtroy,4,54209200000,5 seconds,3
#2008springzombie,4,245610400000,25 seconds,3
#2008summerfallmike,4,10159501600000,17 minutes,4
#2008summerfrostzane,4,71676424000000,2 hours,4
#2008summermanfall,4,8825593600000,15 minutes,4
#2008summerspringcouscous,4,2230198897600000,3 days,4
#2008testadminuser,4,251393572000000,7 hours,4
#2008testmejazaz,4,13276000000000,22 minutes,4
#2008winteradminpeter,4,16958800000000,28 minutes,4
#2008winterdaisy,4,32352400000,3 seconds,3
#2008winterfalldaisy,4,70278155200000,2 hours,4
#2008winterfallkaz,4,25552000000000,43 minutes,4
#2008winterhoney,4,23870800000,2 seconds,3
#2008winterlindsey,4,33022000000,3 seconds,3
#2008winterspringdaniel,4,16021360000000,27 minutes,4
#2008winterspringkelly,4,21128622400000,35 minutes,4
#2008wintertestfalljane,4,18583060024000000,22 days,5
#2008wintertwin,4,215711200000,22 seconds,3
#2008winterwinter19,4,22540000000,2 seconds,3
#2008winterwolf#,4,1245520000000,2 minutes,4
#2009_alexandra_,4,25444000000,3 seconds,3
#2009_alexey10,4,1024900000000,2 minutes,3
#2009adminfall,4,230473000000,23 seconds,3
#2009fall10david,4,1660000000000,3 minutes,4
#2009fall_wooden,4,3596440000000,6 minutes,4
#2009fallfrosty,4,387700000000,39 seconds,3
#2009falljulien,4,1029232561600,2 minutes,4
#2009fallkamran,4,1096940958400,2 minutes,4
#2009fallkate,4,132400000000,13 seconds,3
#2009falltestkiki,4,23543200000000,39 minutes,4
#2009fallwesley,4,49600000000,5 seconds,3
#2009fallwheatbutter,4,594568000000000,17 hours,4
#2009fallwinterxian,4,1358056000000000,2 days,4
#2009mikeval,4,33100000000,3 seconds,3
#2009springcarolyn,4,20290000000,2 seconds,3
#2009springcherry,4,162427600000,16 seconds,3
#2009springdavid,4,20290000000,2 seconds,3
#2009springgavankay,4,889360000000000,1 day,4
#2009springjane,4,31192600000,3 seconds,3
#2009springkenshaw,4,54159462400000,2 hours,4
#2009springpawboy,4,9883600000000,16 minutes,4
#2009springshawn,4,36442000000,4 seconds,3
